True,Predicted
0.2588235294506921,0.33788605540624594
0.1654411764618991,0.3221765614899771
0.3653361344871146,0.5009939149039608
0.5870798319019391,0.5107790128839583
0.424947478969278,0.4126043694621722
0.3228466386385059,0.3415084744707264
0.3858718487192294,0.34713984627642736
0.4581407563309799,0.41043807100976154
0.6090861344743127,0.42533659611432084
0.4420168066469528,0.41445366829398267
0.4842436974010377,0.37891214541217627
0.3129726890066716,0.4065239218327711
0.5722163865770896,0.39467533333588073
0.237657562960207,0.3756804725423435
0.2796743697332104,0.36584930576100183
0.5477415965573665,0.4653706271601323
0.0486869747873588,0.3792283453052531
0.1700105041927516,0.3851653489171674
0.5728991596337764,0.4792640224860175
0.2416491597036949,0.3970629747347848
0.1922794117020863,0.31960341661250474
0.2287289916371466,0.43617319035609314
0.5664390756005023,0.4565436428308684
0.363182773090169,0.4252588492659327
0.356039916000208,0.4758197277356125
0.2218487394841466,0.3818451326769602
0.227626050460734,0.39600358593531554
0.4803046217709925,0.3832180495719219
0.7891281511665375,0.437947461844346
0.3750525209361842,0.4581340698243361
