IDs	Initial Pvalue	Adjusted Pvalue	Fold Change	Standard Deviation of Fold Changes
163	0.5188191139914967	0.9544690458493156	-87.80652478131742	0
174	0.500211922446955	0.9544690458493156	30.78	0
67	0.10472119587732238	0.9544690458493156	-42.31	0
198	0.4489071797276152	0.9544690458493156	67.63000000000001	0
55	0.4873117649218004	0.9544690458493156	41.71696871177001	0
104	0.5988137547023192	0.9544690458493156	14.789999999999992	0
185	0.7972416196904974	0.9544690458493156	-13.138496253535365	0
17	0.22425791187414978	0.9544690458493156	24.30000000000001	0
63	0.9912539515056712	0.9912539515056712	-0.3400000000000034	0
167	0.7469816407344138	0.9544690458493156	24.710000000000008	0
75	0.3041006579388002	0.9544690458493156	76.39000000000001	0
106	0.6753280501431486	0.9544690458493156	-15.25	0
146	0.14354317285420012	0.9544690458493156	84.16000000000001	0
123	0.6396716031315827	0.9544690458493156	33.239999999999995	0
71	0.8908711684235763	0.9677985201653533	7.689999999999998	0
132	0.9081291252799596	0.9706860149388118	5.859999999999999	0
88	0.49012211338011125	0.9544690458493156	-40.390000000000015	0
1	0.5524803687359323	0.9544690458493156	-34.94915127420421	0
74	0.24876701562053236	0.9544690458493156	67.38999999999999	0
41	0.48725775399254845	0.9544690458493156	-25.39999999999999	0
40	0.11212715256280394	0.9544690458493156	-74.51	0
70	0.6127624464385159	0.9544690458493156	13.200000000000003	0
169	0.5162045954905201	0.9544690458493156	-29.700000000000003	0
107	0.43188546287808594	0.9544690458493156	-36.41999999999999	0
121	0.24097364363923995	0.9544690458493156	49.769999999999996	0
105	0.43394618893472303	0.9544690458493156	17.290000000000006	0
177	0.5507109563125183	0.9544690458493156	-16.38964630865381	0
195	0.9118565594879747	0.9706860149388118	-6.430000000000007	0
30	0.8885840308154382	0.9677985201653533	-5.809999999999988	0
193	0.18957482177160703	0.9544690458493156	79.89569586075451	0
127	0.261136774119954	0.9544690458493156	53.634284128327124	0
118	0.7274457657079454	0.9544690458493156	23.409499052876896	0
180	0.5272150744015498	0.9544690458493156	-40.409622920115694	0
