	Aorta1	Aorta2	Aorta3	Aorta4	Aorta5	Aorta6	Aorta7	Aorta8	Aorta9	Aorta10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	Radial1	Radial2	Radial3	Radial4	Radial5	Radial6	Radial7	Radial8	Radial9	Radial10	Vein1	Vein2	Vein3	Vein4	Vein5	Vein6	Vein7	Vein8	Vein9	Vein10
PGS1	437.2	51.0	10.4	57.7	203.9	204.5	57.0	48.0	303.2	64.9	129.6	51.1	443.1	14.7	13.1	45.5	285.9	2.1	37.7	52.1	179.9	137.3	77.6	37.7	121.5	0.9	175.7	82.0	65.1	11.9	43.1	59.0	89.0	113.9	15.3	35.7	61.9	152.1	87.64473345833031	27.7
PGS2	37.7	130.6	338.1	97.7	25.3	53.8	64.5	89.2	22.7	65.5	88.7	155.9	15.2	166.0	99.3	97.9	14.6	266.3	66.9	203.4	6.8	18.8	22.1	188.2	26.3	324.9	27.5	88.3	52.8	121.0	99.8	140.8	42.7	125.7	115.0	65.6	21.9	74.1	223.5	115.1
PLMN	44.5	120.0	284.2	83.1	30.2	60.0	69.8	85.8	22.5	80.2	116.6	141.9	17.0	173.3	103.3	87.5	19.1	490.0	65.9	158.9	8.1	18.3	29.3	145.4	21.8	312.2	30.0	71.0	57.0	103.0	104.9	123.8	37.8	127.3	102.5	64.4	21.5	78.4	199.9	89.7
S10A9	38.6	115.9	316.8	70.7	36.8	66.2	70.1	54.7	25.1	82.3	90.5	93.3	12.3	247.8	137.7	64.9	13.0	489.3	74.9	194.7	13.6	25.4	41.4	122.8	22.9	366.7	35.6	66.0	51.1	114.8	94.4	98.5	33.5	127.6	81.2	71.9	22.1	75.2	152.9	86.7
SCUB3	149.5	31.6	24.4	82.3	76.5	147.4	44.6	142.5	115.8	28.1	36.7	108.5	128.2	83.0	21.2	99.2	244.1	49.8	18.4	58.3	549.0	38.7	25.4	20.5	82.2	43.6	116.3	29.7	136.3	62.0	15.5	33.7	203.2	29.6	19.8	137.8	569.3	50.9	33.4	112.9
TAGL2	58.2	104.8	207.2	114.5	48.1	63.6	70.1	101.0	46.4	127.0	111.5	119.1	33.4	126.1	109.2	148.4	27.6	161.2	54.4	159.3	18.4	24.4	28.2	130.6	56.8	208.2	38.7	116.5	82.3	77.9	139.3	135.4	82.2	118.6	151.1	96.0	37.1	91.3	246.8	129.3
TARSH	35.6	90.7	174.4	19.2	144.4	73.8	107.0	25.4	80.6	115.0	168.4	31.6	176.1	273.0	120.7	17.4	39.1	90.7	41.2	21.1	116.8	63.0	122.4	24.4	68.8	162.0	209.2	39.3	78.5	202.7	127.0	23.4	78.7	161.8	184.1	31.4	59.9	74.6	314.4	12.2
THSD4	46.2	107.9	185.8	23.3	113.7	70.9	94.5	32.2	70.7	113.2	172.3	40.0	146.1	295.0	132.6	21.0	42.5	86.1	43.8	20.9	108.8	72.0	118.0	26.1	65.6	200.9	223.2	43.5	71.3	226.6	126.1	29.4	75.9	164.1	136.9	37.8	49.5	95.5	254.3	15.6
TIMP3	121.0	172.3	253.3	122.0	68.0	45.5	38.2	95.3	44.7	100.7	115.3	145.7	54.7	112.8	143.5	145.6	55.2	90.6	53.7	143.1	39.4	35.2	40.2	86.3	59.0	220.7	38.8	69.1	116.5	110.0	115.7	159.4	87.9	103.5	93.6	67.3	76.4	150.9	126.6	82.2
TRYB2	97.7	153.7	306.4	76.2	40.6	52.0	57.3	87.5	28.0	126.1	182.5	117.1	26.4	177.7	94.4	108.1	34.0	149.9	57.2	115.2	11.9	24.8	27.2	100.8	30.4	304.0	39.4	79.7	86.6	131.8	107.8	115.6	52.8	138.4	132.4	55.5	25.3	143.3	230.3	74.2
IGHM	3.1	284.0	357.1	94.1	38.027919021845804	11.5	42.3	118.0	11.8	41.9	130.9	107.8	2.7	163.7	100.9	70.5	2.4	219.9	22.2	150.1	3.0462613360420163	3.9	28.6	23.6	6.1	427.6	108.12758493362743	51.8	68.5	97.7	138.1	161.3	58.5	89.9	253.9	56.5	3.6	52.2	484.1	59.3
ITA8	367.9	216.8	77.2	46.5	153.3	43.1	49.6	40.2	70.9	202.5	69.7	46.1	78.8	284.6	64.5	52.3	88.0	57.4	56.9	29.9	180.9	60.1	93.7	51.1	21.2	60.1	45.3	22.9	64.3	129.0	88.7	19.5	60.9	27.4	27.4	23.4	142.2	696.5	28.4	61.0
PRDX5	50.0	28.6	26.6	203.0	28.2	63.3	18.1	557.0	46.5	114.0	41.9	429.6	45.6	24.7	45.8	169.4	23.6	11.4	22.9	106.5	50.1	68.5	21.4	317.8	16.6	16.2	91.2	103.6	32.2	13.8	16.7	118.7	46.1	16.0	51.7	518.1	37.3	30.2	39.4	337.9
TAGL	54.2	3.8	8.3	189.2	28.5	56.5	12.8	618.7	51.3	144.1	42.2	527.9	44.9	5.6	27.7	191.7	20.1	3.0	8.7	96.1	49.8	73.0	8.5	328.2	9.6	2.9	104.4	66.9	13.5	3.9	8.4	117.7	13.8	7.9	19.3	619.7	19.9	9.6	13.8	373.9
