,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
L %,0.218582832,0.339925019,0.344586139,0.227120563,0.01978429,0.227531256,0.211874619,0.006483902,0.004396959,0.335560546,0.108224736,0.074175867,0.142888404,0.37212673,0.0,0.0,0.201697735,0.109034989,0.249189781,0.370908464,0.092834697,0.05762309,0.273942885,0.800162501,0.163586745,0.000861373,0.246982184,0.0,0.323572515,0.205076241,0.176767001,0.106550727,0.173774982,0.15085631,0.001141036,0.091693661,0.091511956,0.02591069,0.380664454,0.219577748,0.408960426,0.217255542,0.082713598,0.341222742,0.0,0.010884056,0.293508422,0.220444226,0.0,0.129678094,0.006439164,0.271356253,0.253930757,0.073493289,0.026821567,0.08087612,0.161738938,0.141792485,0.33001258,0.344098269,0.032360036,0.026322325,0.40106824,0.084235895,0.302268656,0.357976408,0.330310898,0.209883108,0.231374143,0.195083857,0.109523792,0.025823185,0.31729022,0.143645552,0.308834918,0.04713774,0.078327625,0.299881383,0.407474648,0.189340546,0.090266349,0.184614449,0.0,0.365418517,0.014857066,0.065400538,0.233154746,0.125221871,0.0,0.328852333,0.114396436,0.192418304,0.137642195,0.132132503,0.297473479,0.129074857,0.220611059,0.125221871,0.0,0.199582821,0.067467654,0.12938033,0.08380993,0.094802672,0.066224911,0.381152323,0.097363161,0.06972378,0.192672142,0.0,0.147583498,0.0,0.02439435,0.0,0.083201467,0.014623414,0.0,0.125045012,0.201209865,0.185963929,0.053065965,0.381760793,0.117415647,0.22802006,0.0,0.189448711,0.024415016
F %,0.074270644,0.075909291,0.00307059,0.164805111,0.035291244,0.19620451,0.192519739,0.124213496,0.021018504,0.11724785,0.141775602,0.028288042,0.037013727,0.253918809,0.0,0.0,0.040084317,0.144258405,0.222282016,0.027508514,0.075003707,0.470781536,0.12669545,0.086409806,0.082317594,0.312822353,0.291150537,0.0,0.121162841,0.173108934,0.039876333,0.063817541,0.136641193,0.033912854,0.084005819,0.009002099,0.14880782,0.005963479,0.344453264,0.08196421,0.197326298,0.231351081,0.118822497,0.083644068,0.0,0.07708233,0.068083972,0.261757393,0.0,0.235733637,0.196624761,0.028850985,0.015468692,0.335148762,0.220846038,0.23339216,0.295151161,0.023549888,0.064398831,0.207782317,0.085858947,0.030579103,0.150227249,0.335960912,0.202982993,0.081944546,0.13977182,0.195529749,0.15670862,0.170649339,0.061451307,0.524900781,0.167958897,0.359738767,0.148548437,0.097520233,0.034898742,0.041075484,0.164179461,0.276605,0.072267403,0.373707284,0.0,0.372167892,0.072819653,0.061275045,0.035253676,0.543531726,0.0,0.235496944,0.199685826,0.056276302,0.18765831,0.159711051,0.161577924,0.087382724,0.080415613,0.543531726,0.0,0.315140044,0.146537124,0.025136225,0.11739005,0.018660957,0.116601133,0.133600357,0.135807595,0.171144738,0.080234135,0.0,0.272519593,0.0,0.171371795,0.0,0.09203041,0.288420373,0.0,0.397477572,0.17076859,0.198483217,0.010813882,0.343020817,0.10672126,0.009505214,0.0,0.012543896,0.386477708
I %,0.114044373,0.041849559,0.445062525,0.322340212,0.063101956,0.39050956,0.376772918,0.097940379,0.220941786,0.208751976,0.179824484,0.019445612,0.03116047,0.154727144,0.0,0.0,0.476222995,0.649867617,0.169330661,0.333624781,0.470702983,0.268186661,0.053568695,0.430026786,0.042402139,0.241477646,0.050240829,0.0,0.455204207,0.195846138,0.036193941,0.097621976,0.002579548,0.317762879,0.352642762,0.118060221,0.062269872,0.353956819,0.053568695,0.407838962,0.113827996,0.135534947,0.227741463,0.045983275,0.0,0.111847334,0.443246533,0.624078199,0.0,0.023149546,0.113833688,0.003800667,0.010828431,0.648444344,0.149366775,0.286237869,0.115077198,0.16228651,0.239530263,0.000455569,0.058404809,0.079213588,0.138710034,0.283906286,0.404869485,0.092289002,0.232577577,0.041700889,0.493368986,0.090039227,0.105427181,0.133056687,0.650694203,0.340740106,0.28602009,0.074377812,0.256349356,0.319798245,0.279599937,0.352733066,0.207894841,0.117098306,0.0,0.108001412,0.215682198,0.07125042,0.176734384,0.024152028,0.0,0.053976568,0.170572636,0.143848322,0.031651119,0.429765311,0.2907343,0.055681436,0.206085205,0.024152028,0.0,0.019364347,0.282174168,0.371205392,0.20168715,0.010892114,0.039986753,0.391037681,0.084544749,0.202843982,0.239912446,0.0,0.1591455,0.0,0.015733364,0.0,0.216864925,0.056081213,0.02940161,0.320495762,0.031616607,0.022816111,0.163735257,0.027514394,0.060343793,0.364785238,0.0,0.059610569,0.019364347
M %,0.08820109,0.194364326,0.30128226,0.089906754,0.015683304,0.279518638,0.114875141,0.282621854,0.007467628,0.045073294,0.012706977,0.178394838,0.042122931,0.07625267,0.0,0.0,0.25915933,0.098173437,0.312637415,0.021810683,0.106636429,0.256501303,0.097891942,0.892813064,0.067510123,0.026041076,0.090436386,0.0,0.019977042,0.161368159,0.14809469,0.140469785,0.03352531,0.056943236,0.003503786,0.110140204,0.188687912,0.091151453,0.101855174,0.049685765,0.220041017,0.062841047,0.000287126,0.103450101,0.0,0.234506848,0.255858162,0.00243113,0.024635475,0.16989984,0.023734419,0.093825288,0.11146369,0.074706533,0.005934084,0.071836288,0.281257959,0.067757373,0.124395402,0.223181138,0.238288426,0.279471567,0.077183792,0.007449502,0.073337438,0.138332322,0.136146259,0.121024548,0.290517323,0.082766118,0.201657438,0.136964625,0.020785142,0.112950972,0.132364681,0.087533948,0.198704758,0.112292012,0.099515271,0.05420538,0.12612775,0.080846694,0.048836846,0.126823561,0.25061,0.207027568,0.168250681,0.10832389,0.0,0.248149525,0.15724295,0.115026121,0.241273322,0.089503447,0.260503082,0.007897597,0.147713765,0.10832389,0.0,0.002933657,0.024681393,0.053161647,0.04858372,0.148690194,0.093992431,0.179956296,0.029581667,0.047522439,0.002950352,0.0,0.119077132,0.0,0.04227054,0.0,0.077814128,0.002640754,0.0,0.201354991,0.181058197,0.206026594,0.084297722,0.150725888,0.007286494,0.020312248,0.0,0.073337438,0.109903496
V %,0.171601525,0.719749236,0.252429014,0.134676867,0.282398485,0.089176818,0.134676867,0.077204933,0.20243651,0.019578947,0.28737078,0.360499747,0.21094112,0.265888073,0.0,0.0,0.041487894,0.079960756,0.140133727,0.08982972,0.365567811,0.31257132,0.373451189,0.035194516,0.067532073,0.212818214,0.026133308,0.0,0.30657097,0.475708544,0.173781354,0.265428399,0.058708753,0.193542013,0.42511553,0.059547719,0.184106892,0.019760659,0.228963416,0.081809024,0.309342361,0.021353129,0.3235751,0.171693434,0.0,0.27950745,0.308754414,0.012896163,0.0,0.102414701,0.079447429,0.060837389,0.101350741,0.130094438,0.191761972,0.133510851,0.197367132,0.099533138,0.049422241,0.056503594,0.362679587,0.134087038,0.106164643,0.077968733,0.352592173,0.336468409,0.268067903,0.346666753,0.060643263,0.188558888,0.290248974,0.090846656,0.015235476,0.065879481,0.184895776,0.138707669,0.429381911,0.279473577,0.19563729,0.149104085,0.237054894,0.137790234,0.0,0.228963416,0.20588068,0.122474172,0.026113774,0.151489149,0.0,0.056503594,0.130537198,0.188135213,0.184060563,0.615191551,0.022487956,0.167007003,0.119394314,0.151489149,0.0,0.063347753,0.3235751,0.110369886,0.225680579,0.425739125,0.229390822,0.033038006,0.315550245,0.248091573,0.191362173,0.0,0.086775812,0.0,0.266239651,0.0,0.12764968,0.556460024,0.026014829,0.189787441,0.154437526,0.154437526,0.452393843,0.131068894,0.244681148,0.1211114,0.0,0.1743906,0.588573463
S %,0.124387119,0.017378357,0.029902425,0.00892982,0.086268927,0.244007417,0.00892982,0.191390582,0.066808287,0.239805691,0.167628923,0.195427179,0.037970491,0.229894052,0.0,0.0,0.067872915,0.32635641,0.409396409,0.147851164,0.044979274,0.103682062,0.20294701,0.077038235,0.691856819,0.1743064,0.249789447,0.0,0.126355677,0.044006684,0.139792866,0.382215256,0.195547441,0.293181928,0.228876822,0.183897558,0.357766417,0.153389062,0.096577113,0.131446172,0.169740951,0.034869551,0.06211024,0.013348258,0.0,0.202631346,0.061423258,0.09114221,0.041980649,0.108570657,0.003124214,0.145301029,0.032432593,0.036836049,0.368336767,0.24250538,0.090076014,0.315669936,0.051766557,0.106488751,0.210832925,0.117948739,0.082499604,0.152569067,0.090362548,0.204898358,0.245299799,0.086881317,0.258041278,0.202441942,0.103472652,0.456558713,0.389613464,0.010413146,0.237098228,0.040593594,0.003214628,0.198511438,0.137939526,0.31722109,0.128421931,0.087756758,0.083221563,0.096577113,0.198317698,0.042205796,0.090451441,0.605587013,0.0,0.106488751,0.142622715,0.26033946,0.149093824,0.329173801,0.190171923,0.126706498,0.172735627,0.572444391,0.0,0.036382819,0.06211024,0.284980348,0.00032493,0.021012144,0.121955054,0.019990786,0.061569353,0.001054871,0.277776181,0.0,0.100761157,0.0,0.081694929,0.0,0.014476087,0.191096236,0.0,0.510786277,0.144459242,0.144459242,0.007884045,0.034141565,0.017110856,0.185821655,0.0,0.000404274,0.295043391
P %,0.116650969,0.963060315,0.074617049,0.122731226,0.163671033,0.14515815,0.122731226,0.153659687,0.03750668,0.01162553,0.137646735,0.093090916,0.066857615,0.008034635,0.0,0.0,0.007759434,0.10729932,0.237182045,0.046532277,0.223684179,0.436073223,0.305098897,0.410247612,0.322229286,0.03277234,0.261086474,0.0,0.06332647,0.02546764,0.08465986,0.145098492,0.12466154,0.087223195,0.009385594,0.214298595,0.133479846,0.171883055,0.014114892,0.07670752,0.176532173,0.014091243,0.087010659,0.170877241,0.0,0.163986213,0.103992393,0.214239261,0.0,0.349090951,0.106216232,0.14009952,0.058493162,0.283624819,0.453636519,0.361233555,0.007410857,0.034101594,0.338422064,0.017705796,0.125082026,0.121149326,0.118668802,0.228777077,0.071301356,0.150332979,0.023956474,0.115433804,0.101483088,0.048559637,0.151248723,0.368642944,0.052387202,0.00107019,0.062860662,0.004129513,0.218206593,0.010681713,0.050123172,0.267367968,0.245591082,0.005056757,0.0,0.014114892,0.069200104,0.300952123,0.178733467,0.292490615,0.0,0.017705796,0.003542342,0.104144349,0.210560219,0.171744897,0.038660238,0.00230172,0.048916637,0.292490615,0.0,0.025376072,0.087010659,0.126127382,0.088035425,0.105179724,0.003766823,0.071026155,0.000760285,0.06635685,0.055232086,0.0,0.337238803,0.0,0.066375244,0.0,0.030099396,0.000124521,0.0,0.077311577,0.049151829,0.049151829,0.076682383,0.013090137,0.034730576,0.113389892,0.0,0.013062297,0.438313908
T %,0.029659255,0.34154545,0.223321119,0.088358361,0.223890739,0.478408867,0.088358361,0.177011496,0.173650254,0.169934451,0.197894106,0.180744825,0.119667147,0.12595556,0.0,0.0,0.342988266,0.58726564,0.117062039,0.260690276,0.100879997,0.027432798,0.13507507,0.048325652,0.125953409,0.05527657,0.090045544,0.0,0.222671717,0.113814944,0.144091059,0.120430411,0.465781165,0.404033402,0.117115045,0.016235048,0.027495129,0.259942332,0.184654655,0.042452395,0.005816647,0.08525054,0.239443931,0.268288565,0.0,0.24362616,0.455190566,0.222710527,0.072800003,0.020919542,0.061737628,0.088361637,0.120415091,0.187036471,0.091575567,0.000103303,0.20157407,0.36584827,0.260045636,0.228633546,0.295176629,0.037369168,0.370353393,0.126104531,0.180131733,0.103689473,0.240387353,0.013038895,0.051561564,0.045764857,0.271500661,0.028402985,0.197369127,0.007173632,0.188836884,0.024737556,0.239087917,0.054676986,0.216711385,0.208821281,0.257868264,0.006545459,0.048105723,0.184654655,0.136665459,0.001057056,0.138201117,0.152535637,0.0,0.228633546,0.088713632,0.066144438,0.068682792,0.070307612,0.082231902,0.050648663,0.244635867,0.152535637,0.0,0.09841164,0.239443931,0.352482922,0.213191268,0.020864702,0.140909517,0.179342217,0.096190862,0.187056334,0.289601598,0.0,0.214178207,0.0,0.098254862,0.0,0.234131493,0.249044129,0.053138685,0.396681108,0.348300693,0.348300693,0.168681359,0.158401992,0.253747897,0.380357423,0.0,0.118868262,0.227272564
Y %,0.05700251,0.440021245,0.180375453,0.035467242,0.077854903,0.147804687,0.069133411,0.231287505,0.186995601,0.213592741,0.293632426,0.28750137,0.119176877,0.35431777,0.0,0.0,0.29955233,0.10253644,0.021568078,0.070451088,0.064061913,0.251377965,0.329180357,0.006013657,0.349558726,0.407731423,0.223164447,0.0,0.089056591,0.043788343,0.276998865,0.044380066,0.147902461,0.001231697,0.092911833,0.156973746,0.27910402,0.275767108,0.261848018,0.026649501,0.546450969,0.207758831,0.195031618,0.286880887,0.0,0.029484393,0.268872235,0.317968146,0.0,0.343627147,0.406487349,0.623144743,0.227041319,0.159023909,0.240956776,0.227516329,0.144517297,0.088880401,0.361598326,0.121122989,0.046500005,0.250826541,0.210946116,0.122394716,0.021950696,0.105800093,0.020316381,0.048837419,0.251756323,0.079060741,0.003457541,0.046655118,0.209632147,0.327281929,0.096300779,0.111058199,0.10852615,0.126245967,0.070273942,0.403885837,0.142409002,0.041811977,0.0,0.228181834,0.11259368,0.057838106,0.023232125,0.219088053,0.0,0.087456819,0.408346554,0.217994683,0.030651815,0.194007994,0.381085688,0.271316451,0.070268232,0.219088053,0.0,0.133171931,0.161365449,0.074752641,0.193821146,0.009007264,0.141640492,0.321100468,0.219525365,0.125585708,0.332769618,0.0,0.050731512,0.0,0.377074287,0.0,0.254284083,0.260849163,0.0,0.043192763,0.240299866,0.206633697,0.071066847,0.260637547,0.219259997,0.048725789,0.0,0.110925583,0.102845649
H %,0.119712134,0.391940948,0.192845841,0.232180492,0.063977868,0.580798278,0.232180492,0.359255964,0.221425577,0.106478623,0.039450999,0.301879147,0.052646033,0.206570944,0.0,0.0,0.140199807,0.332751721,0.148856281,0.425402884,0.171612785,0.112221758,0.184415774,0.034243993,0.272151031,0.433410573,0.198978529,0.0,0.144473218,0.392519775,0.467990273,0.197958529,0.224451484,0.402110729,0.060301215,0.111311569,0.048944737,0.065879544,0.094102568,0.327205244,0.369465989,0.283671291,0.414347505,0.273080935,0.0,0.591750099,0.094628962,0.003874123,0.0,0.541487247,0.101734254,0.372777608,0.438636394,0.178572702,0.227710935,0.145558212,0.290332688,0.345128041,0.295162985,0.218946999,0.650157287,0.232557043,0.137848937,0.035613427,0.437998457,0.346234835,0.141707196,0.550063888,0.257632141,0.448919379,0.62080339,0.307861127,0.221255859,0.338331392,0.083300026,0.20769021,0.200408629,0.019402415,0.112353317,0.445620409,0.156506905,0.017648373,0.0,0.094102568,0.309270098,0.220551868,0.209152939,0.298945333,0.0,0.218946999,0.270865651,0.335690799,0.003044191,0.371916248,0.019816383,0.337256874,0.332321924,0.298945333,0.0,0.314648412,0.414347505,0.343703559,0.415241618,0.603850546,0.406443339,0.120203726,0.243216685,0.416131738,0.053832589,0.0,0.207894323,0.0,0.230831744,0.0,0.388246347,0.259817905,0.0,0.025523656,0.166300948,0.166300948,0.591829454,0.093208455,0.590481643,0.372756833,0.0,0.39593649,0.492858272
Q %,0.04616239,0.403576579,0.255174781,0.080843188,0.043406824,0.157347055,0.080843188,0.207745643,0.079865322,0.2430478,0.195381986,0.254387888,0.201293208,0.430700425,0.0,0.0,0.053881573,0.369980352,0.184822214,0.180160186,0.03118367,0.245077784,0.303694848,0.314684196,0.054975403,0.045599913,0.200359364,0.0,0.109199475,0.321832772,0.015566782,0.025740743,0.013770527,0.011158984,0.142580218,0.111396548,0.009685565,0.004407798,0.303694848,0.200214604,0.126981457,0.081829984,0.127382311,0.233581303,0.0,0.21702315,0.287302464,0.385949252,0.0,0.104542968,0.128331208,0.2408129,0.016725224,0.245165372,0.065416863,0.258546322,0.086974351,0.165965257,0.047599237,0.116042223,0.223792281,0.075014595,0.043795772,0.150983672,0.279963207,0.28749571,0.400104826,0.003102877,0.142736792,0.20684637,0.191500274,0.157711774,0.73667745,0.067875761,0.393335695,0.038822669,0.007222538,0.035420241,0.36781282,0.021322012,0.076736269,0.021806761,0.040067125,0.303694848,0.137137291,0.075649988,0.278029477,0.107656268,0.0,0.116042223,0.054148618,0.064558809,0.276311423,0.052052457,0.081843791,0.052662484,0.008340915,0.107656268,0.0,0.270971773,0.127382311,0.004389853,0.10791027,0.176110822,0.061840134,0.442827415,0.100379741,0.108918459,0.041754583,0.0,0.25041487,0.0,0.058152342,0.0,0.26651487,0.049793218,0.0,0.313499433,0.085250995,0.085250995,0.321889335,0.284222807,0.215063981,0.021133022,0.0,0.120660375,0.067525658
N %,0.06930273,0.280086396,0.117878405,0.076092523,0.004087873,0.173717984,0.076092523,0.101273733,0.087880199,0.025211338,0.046495642,0.057881138,0.093755487,0.100241444,0.0,0.0,0.024122917,0.003129992,0.240975811,0.236659761,0.233503604,0.089954176,0.296155834,0.336493155,0.127968056,0.050107014,0.191032138,0.0,0.106604874,0.070243102,0.020570153,0.415024056,0.353127607,0.20883972,0.20194398,0.031559623,0.020785452,0.188269567,0.045153809,0.04323313,0.198568612,0.218819165,0.087514114,0.203436896,0.0,0.120015162,0.166231784,0.382888188,0.0,0.023721778,0.13925314,0.056294955,0.142145693,0.388639549,0.184981163,0.382923862,0.08574645,0.239378793,0.098776191,0.170606591,0.031991757,0.354538165,0.165025541,0.230520397,0.386277351,0.072659042,0.010368561,0.038994695,0.025957536,0.11616962,0.153567284,0.358578476,0.233093932,0.077886092,0.077654844,0.121495176,0.035118455,0.153161811,0.111206966,0.030438958,0.154950947,0.029688946,0.0,0.045153809,0.446583679,0.12510791,0.061195448,0.329712129,0.0,0.170606591,0.120471604,0.00904992,0.1736899,0.150592671,0.065467032,0.099100422,0.092182244,0.286263824,0.0,0.26924599,0.087514114,0.296863126,0.141850884,0.222263395,0.151307145,0.243331199,0.055328369,0.084887792,0.118966837,0.0,0.162165791,0.0,0.08982407,0.0,0.200970881,0.120681702,0.030128386,0.094563958,0.26436209,0.26436209,0.036607112,0.099490578,0.342725068,0.330415248,0.0,0.253604859,0.110926682
K %,0.28592937,0.164859299,0.015353357,0.358552376,0.203743517,0.410015145,0.377935748,1.0,0.148657876,0.057321337,0.035546703,0.015827517,0.111825414,0.126133408,0.0,0.0,0.096472056,0.25669591,0.092258333,0.29871008,0.178681404,0.06059163,0.140606315,0.246773169,0.516493655,0.026589768,0.026727545,0.0,0.3225248,0.475844035,0.153417431,0.141236144,0.153197594,0.27020005,0.183149526,0.004468123,0.256614435,0.116782619,0.198756414,0.327328092,0.397376927,0.025694335,0.088450531,0.738960628,0.0,0.305536787,0.006829573,0.635085773,0.0,0.47812302,0.054106736,0.091785835,0.070102048,0.060412388,0.110084901,0.038508187,0.633354074,0.530581356,0.370390774,0.129944352,0.423519284,0.283356723,0.107160579,0.282304389,0.389574146,0.57740004,0.313213393,0.043250143,0.263348075,0.284517314,0.340203901,0.006342367,0.365315535,0.080818979,0.195230904,0.013477968,0.185499797,0.067279261,0.229898009,0.131717774,0.124276747,0.233855172,0.037912835,0.218139777,0.136768021,0.154385648,0.012451333,0.0473982,0.0,0.149327715,0.034740051,0.060229971,0.042859042,0.110820948,0.178737138,0.000521537,0.124289432,0.0473982,0.0,0.145503475,0.107833894,0.152217553,0.089103906,0.421639377,0.182419625,0.053458705,0.005407267,0.109050787,0.169146751,0.0,0.067783379,0.0,0.080037337,0.0,0.056847178,0.020641962,0.0,0.471609889,0.241769765,0.261153129,0.091580387,0.199409789,0.235163954,0.186884666,0.0,0.297364705,0.726800409
D %,0.137241036,0.237899958,0.174833427,0.122434638,0.010449554,0.161205334,0.076164623,0.080982749,0.007166416,0.243313045,0.213554736,0.104687228,0.057556969,0.127176423,0.0,0.0,0.117276469,0.242274192,0.375283692,0.358435118,0.030326687,0.148254161,0.066100009,0.318579726,0.496121813,0.111704115,0.080431033,0.0,0.057523195,0.023545654,0.259122191,0.004869753,0.139847131,0.307637231,0.114926279,0.084599592,0.129131605,0.04851504,0.112370024,0.074524676,0.039164122,0.025901575,0.089880819,0.255367231,0.0,0.209489882,0.29843315,0.116009877,0.022826536,0.078712198,0.154520939,0.152725167,0.252363119,0.260860481,0.01099671,0.056261451,0.182769468,0.31339901,0.284346732,0.228506636,0.226568372,0.101426153,0.043537884,0.131914438,0.063705373,0.121488263,0.249057578,0.098120683,0.367487719,0.280551332,0.219809301,0.408330625,0.553116434,0.161742916,0.231979077,0.152336539,0.216742058,0.134541323,0.242298506,0.155422826,0.017190876,0.364289653,0.0,0.066100009,0.079729839,0.044622457,0.074747834,0.244537461,0.0,0.182236632,0.26141572,0.190979462,0.028320772,0.231997874,0.206130176,0.126269164,0.017415174,0.244537461,0.0,0.208172187,0.043610814,0.29055873,0.088529114,5.16e-05,0.059597788,0.058696815,0.102001526,0.087183469,0.185756077,0.0,0.244224197,0.0,0.178638319,0.0,0.03620761,0.10525655,0.0,0.142047494,0.170949678,0.124679663,0.028591715,0.111018319,0.004116748,0.30087816,0.0,0.18086468,0.311792663
E %,0.066105146,0.549651013,0.013810366,0.058306044,0.097547988,0.00042275,0.042057916,0.104183408,0.215034909,0.033048154,0.242938776,0.010503391,0.046295728,0.062217444,0.0,0.0,0.032485362,0.023328511,0.268105861,0.0031194,0.294063295,0.188273017,0.493117837,0.266487867,0.414986642,0.201554866,0.216590962,0.0,0.107358992,0.083608027,0.062735068,0.129549936,0.364721007,0.115592639,0.368460746,0.074397451,0.311007222,0.052857571,0.054418342,0.126473497,0.046314687,0.18351222,0.018302492,0.444357215,0.0,0.060175214,0.056294856,0.297426288,0.016031486,0.152022731,0.117345978,0.171824876,0.0960339,0.070897057,0.035597692,0.16180715,0.157669608,0.148719024,0.198763812,0.040847256,0.139343604,0.04702239,0.128876371,0.096236806,0.384262014,0.355712543,0.066622777,0.026315271,0.029314388,0.010267487,0.019425364,0.136352436,0.095222277,0.08728436,0.132896048,0.072884734,0.144856269,0.045809522,0.092146191,0.445129405,0.127934373,0.2889992,0.0,0.038170207,0.055152485,0.003596292,0.081638645,0.25216751,0.0,0.057095384,0.069838911,0.072775987,0.101564246,0.116488379,0.083600632,0.178236989,0.075832119,0.25216751,0.0,0.107438312,0.03455062,0.083926179,0.016988035,0.131699903,0.23882776,0.081455225,0.077163364,0.000495613,0.013247574,0.0,0.100775889,0.0,0.086212436,0.0,0.008734397,0.189653203,0.0,0.47424417,0.005448473,0.010799655,0.040452742,0.055732793,0.144042835,0.043176329,0.0,0.156800704,1.0
C %,0.130221828,0.383448874,0.02425511,0.032943274,0.488710285,0.597310042,0.032943274,0.213818236,0.235959079,0.095721786,0.399001231,0.346484994,0.491753296,0.032136669,0.0,0.0,0.516008406,0.646856558,0.019246449,0.134574413,0.061059664,0.079549775,0.340185442,0.122589948,0.228786324,0.018091297,0.075247715,0.0,0.550213473,0.500666957,0.13532335,0.034956917,0.533654716,0.6615767,0.075127757,0.014068082,0.169720395,0.526253338,0.065141896,0.232838649,0.407406815,0.004311081,0.443763548,0.122631632,0.0,0.52359597,0.15496299,0.236796503,0.0,0.430951478,0.04357647,0.478549105,0.100074372,0.280029059,0.154670513,0.536051933,0.100660215,0.124366228,0.116413132,0.001556779,0.612030172,0.110319315,0.062992491,0.177199575,0.535290399,0.017290507,0.23340852,0.351107393,0.037893884,0.501853525,0.576781194,0.163344212,0.045551454,0.036661875,0.144974307,0.432590085,0.15184256,0.013162552,0.19815953,0.544996109,0.49408955,0.148323079,0.099099859,0.065141896,0.020888836,0.113415315,0.002336254,0.119147605,0.0,0.001556779,0.003393843,0.397197764,0.156801381,0.018391963,0.184708572,0.01670778,0.08303991,0.119147605,0.0,0.085822197,0.443763548,0.573142486,0.444218973,0.454786549,0.129041075,0.087840227,0.035532041,0.444672362,0.39603151,0.0,0.031051118,0.0,0.00026095,0.0,0.466461879,0.001339651,0.0,0.236796503,0.493310064,0.493310064,0.333387702,0.065597321,0.458178963,0.62632771,0.0,0.495119571,0.164754364
W %,0.017377724,0.026366047,0.089736468,0.014451333,0.024477511,0.093341883,0.014451333,0.093341883,0.181689582,0.046425858,0.033702026,0.123211267,0.024381524,0.266824415,0.0,0.0,0.065354969,0.194508817,0.170127293,0.094702441,0.088168077,0.15008093,0.339670721,0.61123873,0.180898078,0.233930875,0.049723529,0.0,0.068582209,0.169749142,0.159428644,0.237294446,0.815907303,0.120006587,0.348031838,0.259863785,0.086624778,0.039422058,0.263898024,0.147796118,0.034149462,0.124337216,0.126137658,0.503916119,0.0,0.017328683,0.096127826,0.0,0.0,0.093341883,0.188393995,0.093341883,0.158506022,0.101088098,0.259163079,0.194508817,0.117447432,0.037461288,0.003009271,0.049352249,0.018839653,0.184438909,0.14050119,0.400175998,0.020492898,0.010200197,0.408875335,0.129144225,0.080063616,0.093341883,0.017917007,0.058085767,0.0,0.055125512,0.407364366,0.000708941,0.425613527,0.069170386,0.407952713,0.214253429,0.117827458,0.214173448,0.0,0.263898024,0.02256934,0.458383843,0.142208982,0.051938129,0.0,0.049352249,0.143867173,0.235243097,0.091517883,0.0,0.107502283,0.099332921,0.097064407,0.051938129,0.0,0.182483913,0.126137658,0.118495617,0.125644445,0.061412356,0.233930875,0.22351378,0.100560996,0.125153449,0.022044334,0.0,0.055871167,0.0,0.188050975,0.0,0.166521902,0.203713963,0.0,0.0,0.024970725,0.024970725,0.280742264,0.264391238,0.212460174,0.119083965,0.0,0.078498196,0.170127293
R %,0.011476202,0.301193341,0.150611743,0.013134656,0.090383182,0.059632114,0.013134656,0.040256487,0.121582975,0.161994261,0.142053757,0.108591875,0.001927673,0.10976003,0.0,0.0,0.152539415,0.114962189,0.277704,0.19036247,0.104881802,0.429194061,0.299395472,0.570749647,0.520160329,0.017772015,0.128904392,0.0,0.23042242,0.175092345,0.044370645,0.087893705,0.066785687,0.196816385,0.198762421,0.093880618,0.713410684,0.15244574,0.085149171,0.190248903,0.564818138,0.301543132,0.083981017,0.018534137,0.0,0.094119557,0.251787945,0.17504371,0.0,0.114479385,0.005012495,0.002685014,0.039844411,0.258879302,0.071485672,0.085036997,0.534118693,0.519555141,0.844370725,0.137383411,0.141486318,0.039750727,0.076163982,0.10623309,0.108445536,0.224137356,0.142654472,0.195130221,0.165886622,0.151391938,0.136960076,0.139888366,0.556364055,0.13837626,0.095287711,0.109753456,0.060043933,0.018629127,0.13812823,0.075306341,0.047907778,0.10660453,0.0,0.085149171,0.005986913,0.04793484,0.045980105,0.162661616,0.0,0.137383411,0.015368564,0.202678608,0.370561566,0.144826155,0.174269687,0.014621842,0.405456603,0.162661616,0.0,0.189701714,0.083981017,0.149449624,0.084931575,0.137756789,0.176757354,0.098377511,0.129455628,0.085877872,0.163921942,0.0,0.106131142,0.0,0.007939266,0.0,0.097209348,0.205388021,0.0,0.483669064,0.139311084,0.139311084,0.154689995,0.086099729,0.0426304,0.192290142,0.0,0.26758419,0.141026461
