uniprotid_A,uniprotid_B
P92177,Q9VBN5
P92177,Q9VBP5
P92177,Q9VE79
P92177,Q9VE85
P92177,Q9VEN9
P92177,Q9VFE7
P92177,Q9VFT4
P92177,Q9VFV9
P92177,Q9VG05
P92177,Q9VI72
P92177,Q9VIK6
P92177,Q9VIP1
P92177,Q9VIX7
P92177,Q9VJ35
P92177,Q9VJ57
P92177,Q9VKX1
P92177,Q9VRL0
P92177,Q9VTS3
P92177,Q9VTZ0
P92177,Q9VU76
P92177,Q9VUH9
P92177,Q9VUZ0
P92177,Q9VV79
P92177,Q9VVF4
P92177,Q9VWD1
P92177,Q9VWI2
P92177,Q9VX15
P92177,Q9VXR5
P92177,Q9VXU8
P92177,Q9VXY3
P92177,Q9VZ62
P92177,Q9VZF0
P92177,Q9VZF5
P92177,Q9W003
P92177,Q9W028
P92177,Q9W0E1
P92177,Q9W0R0
P92177,Q9W1H5
P92177,Q9W392
P92177,Q9W3M7
P92177,Q9W499
P92177,Q9W4M7
P92177,Q9W4N8
P92177,Q9W541
P92177,Q9XZT5
P92177,Q9Y1B4
P92177,Q9VTP4
P92177,Q9W2E7
P92177,Q9VIW3
P92177,P48592
P92177,O61231
P92177,P46222
P92177,P41126
P92177,Q9VNE9
P92177,P55841
P92177,Q9W3W8
P92177,Q9VS34
P92177,P41093
P92177,P36241
P92177,P50887
P92177,P48159
P92177,Q9VJY6
P92177,Q9VZS5
P92177,O16797
P92177,P09180
P92177,P32100
P92177,P46223
P92177,P50882
P92177,P19889
P92177,Q0E9B6
P92177,P17704
P92177,P39018
P92177,Q8T3U2
P92177,P31009
P92177,Q06559
P92177,P55830
P92177,P41042
P92177,Q9VFE4
P92177,Q9VA91
P92177,Q8MLY8
P92177,P55935
P92177,P38979
P92177,Q9V7Y2
P92177,Q23972
P92177,Q9W0S7
P92177,P54622
P92177,P06603
P92177,P06604
P92177,Q24560
P92177,P42271
P92177,P48605
P92177,P15348
P92177,O96651
P92177,A1Z8P9
P92177,P34739
P92177,Q9VUV9
P92177,Q94920
P92177,P02843
P92177,P02844
P92177,P06607
P92177,Q9XZU1
P92177,P98163
O46036,O46036
O46036,O46036
O46036,O46036
P55035,Q9VWD9
P55035,Q9VWD9
P55035,Q9VWD9
Q94545,Q9W352
Q94545,Q9VKQ9
Q94545,Q9V4C8
Q94545,Q9VPH8
Q94545,Q5LJZ2
Q94545,Q9V3J8
Q9V4C8,Q5LJZ2
Q5LJZ2,Q9V4C8
P04052,Q5LJZ2
Q5LJZ2,Q5LJZ2
P04052,Q5LJZ2
O97183,Q5LJZ2
Q5LJZ2,Q94545
Q5LJZ2,Q9V3J8
Q5LJZ2,Q9VKQ9
Q5LJZ2,Q9W352
Q5LJZ2,Q9VPH8
Q5LJZ2,Q9V4C8
P28159,Q8SYK5
P28159,Q8SYK5
P07207,P28159
P28159,Q8SYK5
Q8IQ56,P35381
P22813,P22813
P22813,P22813
P22813,P22813
O97102,Q9VNJ0
Q9VNJ0,O97102
P14003,Q9VNJ0
Q9VNJ0,P14003
P14003,Q9VNJ0
Q9VNJ0,P14003
P14003,P16371
Q9VNJ0,P14003
O46036,P14003
O97102,P16371
P16371,O97102
Q8SXQ7,Q9GNK5
Q9GNK5,Q9GNK5
Q9VHA0,P39769
Q9VK33,Q9VHA0
P18824,Q24368
P18824,Q24572
Q24368,P18824
Q9W157,A1Z8S6
A1Z6I7,Q9VRQ2
A1Z6I7,Q24044
Q24044,Q9VRQ2
Q24044,A1Z6I7
Q8SY33,Q7KY08
Q8SY33,P21187
Q9V407,Q9Y1T2
Q6AWJ9,P51140
P40589,Q6AWJ9
P05205,Q9V629
Q9V629,Q7JXA8
Q9V6Q2,Q9V629
Q9V629,Q7JXA8
Q9VXY9,P09615
Q9VXY9,P09615
O96685,O96685
O96685,O96685
O96685,O96685
Q9VI72,Q9XZ31
Q9XZ31,Q9VAC8
Q7PL26,Q9VEL2
Q7PL26,Q9VEL2
Q9VEL2,Q9W4S7
Q9U787,Q0E9B7
Q9U787,Q0E9B7
Q9VXJ0,Q9VXJ0
Q23972,Q9VUQ5
Q23972,Q32KD4
Q9U787,Q9U787
Q9U787,O61464
Q9U787,Q0E9B7
Q9U787,Q9U787
Q9U787,O61464
Q9U787,Q0E9B7
Q9VSF0,P14199
Q9VZX7,Q9VIE1
Q9VSF0,Q9VZX7
Q9VSF0,Q7JQL5
Q9V3I2,Q9VI20
P09081,O97102
P09081,O97102
P09081,O97102
Q9VS59,Q9VYG2
Q9VS59,Q9VYG2
Q9VS59,Q94527
Q9VS59,Q94527
Q7K012,Q9VS59
Q9VS59,Q9VYG2
Q9VS59,Q94527
Q9VGI8,Q9VS59
Q9VS59,O61348
P04197,Q9VS59
Q9VS59,Q9I7K6
Q9VS59,A1Z9I0
Q9VKY2,Q9VS59
Q9VS59,Q9VS59
A1Z995,Q9VS59
Q9VRQ7,Q9VS59
P12881,Q9VS59
P10734,Q9VS59
P84040,Q9VS59
Q9VS59,Q9NG98
Q9VG70,Q9VS59
Q9VS59,Q9U983
Q9VS59,O76866
Q9NG98,Q9VS59
Q9VYG2,Q9VS59
Q9VS59,P39736
Q9VS59,Q9VVU6
Q9VS59,O77477
P34021,Q9VS59
Q9VS59,Q9W352
Q8ST83,Q9VS59
P19109,Q9VS59
Q9VGI8,Q9VS59
Q9V6Q2,Q9VS59
Q9VS59,Q8IQ53
Q9VZ23,Q9VS59
Q9VS59,Q95RM0
Q9VS59,Q9V455
Q94527,Q9VS59
Q7KN62,A1ZAB3
Q7KN62,A1ZAB3
Q7KN62,A1ZAB3
A1ZAB3,Q9V9J3
A1ZAB3,Q7KN62
Q7KN62,A1ZAB3
Q7JN06,Q8MT36
Q7JN06,Q24478
Q7JN06,Q8MT36
Q7JN06,Q24478
Q94883,Q7JN06
Q8MT36,Q7JN06
O44382,Q8INB9
P04657,Q9VFJ3
Q9VFJ3,Q24306
Q9GRA9,P16371
Q9GRA9,P16371
P19107,P10676-1
P19107,P10676-2
P06002,P15425
Q7JUY8,Q9VF25
Q7JUY8,Q9VHX0
Q7JUY8,Q9VF25
Q7JUY8,Q9VHX0
Q9V3I1,Q9V3I1
Q24459,P11147
Q24459,Q9NJG9-1
Q24459,Q24572
Q24459,Q24338
Q24459,P42124
Q24459,Q9NJG9
P42124,Q24459
P42124,Q24572
P42124,Q9W3M7
P42124,Q9NJG9-1
P42124,P06603
P42124,Q24113
P42124,P41073
P42124,Q9NJG9
P42124,P11147
Q24459,P14083
Q24459,P06607
Q24459,P05661
Q24459,Q9V3R1
Q24459,P05303
Q24459,P02283
Q24459,Q04047
Q24459,Q24439
Q24459,P02299
Q24459,P28466
Q24459,P08736
Q24459,P84249
Q24459,P84040
Q24459,O01352
Q24459,Q24560
Q24459,P16620
Q24459,P92177
Q24459,P08985
Q24459,Q24572
Q24459,P42124
Q24459,Q9NJG9
P22469,P14785
P22469,P54733
P22469,Q9I7I0
P22469,P20439
P22469,P14785
P22469,P54733
P22469,P14785
P54733,P14785
P23572,P14785
P22469,P14785
P23572,P54733
P22469,P23572
P22469,P54733
P22469,Q7K0D8
P22469,Q9W1X4
P22469,A0A0B4K7J2
P22469,Q9V6B9
P22469,Q9TVM2
Q86NK4,P22469
P22469,Q9I7R5
P22469,O18388
Q95RA8,Q8T0S6
Q95RA8,Q8T0S6
Q24590,Q95RA8
Q24590,Q8T0S6
Q9W450,Q9BN17
Q9W450,Q9BN17
Q9W450,Q9BN17
Q9BN17,Q9W450
A1Z6E0,P09052
P09052,A1Z6E0
P51023,P40417
Q9VN10,Q27403
Q9VN10,Q27403
P08044,Q95RJ9
O46036,Q95RJ9
O46036,P08044
O46036,P08044
P08044,O46036
Q95RJ9,P08044
Q95RJ9,Q9VNC2
Q9VNC2,Q94517
Q9VNC2,Q95RJ9
A1Z6M0,P10987
A1Z6M0,EBI-7805372
A1Z6M0,Q9VYG2
A1Z6M0,P29844
A1Z6M0,P25439
A1Z6M0,Q9VMJ7
A1Z6M0,Q8IN94
A1Z6M0,Q24090
A1Z6M0,Q5U0Y0
A1Z6M0,Q7K3G5
A1Z6M0,Q9VC36
A1Z6M0,Q9VF03
A1Z6M0,Q9VLX2
A1Z6M0,Q9W384
A1Z6M0,Q9VH07
A1Z6M0,Q9VWF2
P25439,Q8IN94
P25439,Q24090
P25439,Q9VC36
P25439,Q9VF03
P25439,Q9VH07
Q9VH07,P25439
Q9VH07,Q8IN94
Q9VH07,Q9VF03
Q9VH07,Q9VC36
Q9VC36,Q9VH07
Q9VC36,P25439
Q9VC36,Q9VF03
Q8IN94,P25439
Q8IN94,Q9VF03
Q8IN94,Q9VC36
Q8IN94,Q9VH07
Q9VF03,Q8IN94
Q9VF03,Q9VC36
Q9VF03,P25439
