UniProtID 1,UniProtID 2,DG (kJ/mol),pair
Q9UBT2,P63279,-23.33,"('P63279', 'Q9UBT2')"
Q05C46,P62136,-40.52,"('P62136', 'Q05C46')"
Q15311,P11234,-38.71,"('P11234', 'Q15311')"
Q9H1Y0,Q7Z6L1,-19.86,"('Q7Z6L1', 'Q9H1Y0')"
Q6FGP5,P40855,-42.47,"('P40855', 'Q6FGP5')"
Q9HAU4,O15105,-25.28,"('O15105', 'Q9HAU4')"
Q6NXT2,Q9UPP1,-34.48,"('Q6NXT2', 'Q9UPP1')"
P55072,Q9UNN5,-28.45,"('P55072', 'Q9UNN5')"
P0DP23,Q14524,-34.43,"('P0DP23', 'Q14524')"
P30533,Q07954,-31.91,"('P30533', 'Q07954')"
Q96RK0,P54253,-40.54,"('P54253', 'Q96RK0')"
P14635,P24941,-17.24,"('P14635', 'P24941')"
Q00604,Q9ULV1,-34.25,"('Q00604', 'Q9ULV1')"
O43172,O43447,-32.79,"('O43172', 'O43447')"
Q9Y3E7,O95630,-39.93,"('O95630', 'Q9Y3E7')"
Q13164,Q13163,-36.59,"('Q13163', 'Q13164')"
P62805,Q86W83,-27.01,"('P62805', 'Q86W83')"
P42226,Q15788,-42.52,"('P42226', 'Q15788')"
P42568,Q8TEK3,-50.62,"('P42568', 'Q8TEK3')"
P63316,P19429,-25.91,"('P19429', 'P63316')"
Q15628,Q12933,-29.36,"('Q12933', 'Q15628')"
P0CG47,Q9NYG5,-33.31,"('P0CG47', 'Q9NYG5')"
P50402,O75531,-35.8,"('O75531', 'P50402')"
Q14155,Q96J02,-33.33,"('Q14155', 'Q96J02')"
Q9UQB8,P60953,-30.47,"('P60953', 'Q9UQB8')"
Q15435,P62136,-43.2,"('P62136', 'Q15435')"
O75381,P50542,-41.12,"('O75381', 'P50542')"
P12755,Q15796,-43.4,"('P12755', 'Q15796')"
Q9Y6D9,Q13257,-34.39,"('Q13257', 'Q9Y6D9')"
P50542,P21549,-31.36,"('P21549', 'P50542')"
O60609,Q5T4W7,-40.49,"('O60609', 'Q5T4W7')"
P01112,Q14449,-31.29,"('P01112', 'Q14449')"
P18509,P41586,-37.1,"('P18509', 'P41586')"
P24394,P05112,-56.29,"('P05112', 'P24394')"
Q03405,P04004,-51.98,"('P04004', 'Q03405')"
Q01196,Q13951,-42.24,"('Q01196', 'Q13951')"
P13489,P03950,-87.97,"('P03950', 'P13489')"
P01241,P16471,-60.26,"('P01241', 'P16471')"
Q9NR28,O15392,-22.52,"('O15392', 'Q9NR28')"
P48551,P01563,-46,"('P01563', 'P48551')"
P48551,P17181,-43.25,"('P17181', 'P48551')"
Q9UK55,P22891,-49.89,"('P22891', 'Q9UK55')"
P08833,P22692,-53.95,"('P08833', 'P22692')"
O43157,Q92730,-30.24,"('O43157', 'Q92730')"
O75051,Q92730,-29.64,"('O75051', 'Q92730')"
Q13625,P04637,-32.53,"('P04637', 'Q13625')"
P29317,O15357,-30.38,"('O15357', 'P29317')"
P48736,P01112,−31.42,"('P01112', 'P48736')"
P63000,P19878,−29.09,"('P19878', 'P63000')"
P06729,P19256,−29.94,"('P06729', 'P19256')"
Q99816,P0CG48,−17.93,"('P0CG48', 'Q99816')"
P01024,P11215,−36.21,"('P01024', 'P11215')"
P00167,P08684,-37.27,"('P00167', 'P08684')"
P00167,P20815,-39.07,"('P00167', 'P20815')"
Q30201,P02786,-43.81,"('P02786', 'Q30201')"
P05231,P40189,-52.3,"('P05231', 'P40189')"
P30518,P49407,-32.31,"('P30518', 'P49407')"
P02778,O15218,-44.39,"('O15218', 'P02778')"
P48061,O15218,-42.47,"('O15218', 'P48061')"
P32121,P30518,-34.26,"('P30518', 'P32121')"
Q99250,P0DP23,-44.29,"('P0DP23', 'Q99250')"
Q99102,P04626,-39.57,"('P04626', 'Q99102')"
P00533,Q6QBS2,-39.28,"('P00533', 'Q6QBS2')"
Q8NFZ4,Q7Z553,-50.02,"('Q7Z553', 'Q8NFZ4')"
P18510,P27930,-42.41,"('P18510', 'P27930')"
P18510,P14778,-54.51,"('P14778', 'P18510')"
P01584,P14778,-50.02,"('P01584', 'P14778')"
P35498,P0DP25,-25.14,"('P0DP25', 'P35498')"
P01236,P05710,-47.07,"('P01236', 'P05710')"
P08476,P27040,-48.49,"('P08476', 'P27040')"
P01137,P37173,-38.52,"('P01137', 'P37173')"
Q8NFZ4,P58400,-39.75,"('P58400', 'Q8NFZ4')"
Q14524,P61328,-39.79,"('P61328', 'Q14524')"
O60462,P49765,-28.09,"('O60462', 'P49765')"
O14786,P49765,-30.96,"('O14786', 'P49765')"
O60462,P49767,-26.26,"('O60462', 'P49767')"
P29274,P63092,-33.88,"('P29274', 'P63092')"
P01834,P05067,-39.22,"('P01834', 'P05067')"
P01848,P01889,-37.5,"('P01848', 'P01889')"
P01848,P04439,-26.2,"('P01848', 'P04439')"
P01848,P15813,-38.64,"('P01848', 'P15813')"
P06239,P22575,-26,"('P06239', 'P22575')"
P06241,P22575,-24.11,"('P06241', 'P22575')"
P07947,P22575,-23.83,"('P07947', 'P22575')"
P07948,P22575,-28.85,"('P07948', 'P22575')"
P08631,P22575,-28.29,"('P08631', 'P22575')"
